BIB_ID	VENDOR_CODE	bibtype	date	form	place	language	govdoc	publisher	fund	poofid
10376982	AMAZON	am	2012	\	gw\	geo	\	NA	p2553	14866
10377662	AMAZON	am	2009	b	sa\	eng	\	HSRC Press	p6390	14872
10359200	AMAZON	am	2015	b	nyu	eng	\	Palgrave Macmillan	2161	14352
10377657	AMAZON	am	2009	b	nyu	eng	\	Edwin Mellen Press	p6350	14905
10377664	AMAZON	am	2008	b	sa\	eng	\	H. Wende	p2160	14869
10377422	AMAZON	am	2010	b	no\	eng	\	Tapir Academic Press	p2755	14867
10376984	AMAZON	am	2006	b	vtu	eng	\	Jewish Lights Pub.	p8559	14857
10376463	AMAZON	am	1990	\	cau	eng	\	Harcourt Brace Jovanovich	p3167	14809
10376980	AMAZON	am	2018	b	ja\	eng	\	Trans Pacific Press	2021	14868
10354463	AMAZON	am	2016	b	sp\	spa	\	Ediciones Universidad	7110	14086
10376400	AMAZON	am	2017	\	mf\	eng	\	Lambert Academic pub.	8110	14764
10376295	AMAZON	am	2018	\	mau	eng	\	MIT Press	p6658	14795
10363881	AMAZON	am	2015	b	cau	eng	\	[Prana Publishing]	p4350	14797
10363876	AMAZON	am	2008	b	cau	eng	\	Conari	p3191	14800
10363878	AMAZON	am	2002	b	nyu	eng	\	Ballantine Books	p3160	14799
10363880	AMAZON	am	2017	a	pau	eng	\	Assiduity Publishing House	p4350	14798
10363882	AMAZON	am	2017	b	enk	eng	\	BALTIC Centre for Contemporary Art ;$aMoscow :$bGarage Museum of Contemporary Art ;$aGeneva :$bMAMCO, Musée d'art moderne et contemporain ;$aEindhoven :$bVan Abbemuseum	2010	14794
10363879	AMAZON	am	2015	b	sa\	eng	\	Jacana	p6390	14801
10363451	AMAZON	am	2015	b	enk	eng	\	D.S. Brewer	p8350	14749
10362987	AMAZON	am	2017	b	my\	eng	\	Natural History Publications (Borneo)	8110	14697
10361349	AMAZON	am	2013	b	ilu	eng	\	ABA, Section of Legal Education and the Admissions Bar	1341	14594
10362917	AMAZON	am	2017	b	pl\	pol	\	Wydawnictwo Uniwersytetu Jagiellońskiego	8110	14703
10362915	AMAZON	am	2017	b	cou	eng	\	Sounds True, Inc.	p4350	14682
10362916	AMAZON	am	2010	b	nyu	eng	\	Harmony Books	p4350	14681
10361350	AMAZON	am	2018	\	ii\	eng	\	Mapin Publishing ;$aMumbai, India :$bThe HECAR Foundation	2010	14557
10360872	AMAZON	am	2003	b	th\	tha	\	Sāakhadī	p1161-mann	NA
10360679	AMAZON	am	2014	b	nyu	eng	\	Zone Books	2310	14484
10360128	AMAZON	am	2018	b	nyu	eng	\	Basic Books	p6659	14459
10360276	AMAZON	am	2008	b	cau	eng	\	[Createspace]	591	14480
10360129	AMAZON	am	2018	\	nyu	eng	\	Little, Brown and Company	p4358	14453
10360130	AMAZON	am	2018	\	nyu	eng	\	Flatiron Books	p4557	14452
10360131	AMAZON	am	2016	b	xx\	eng	\	Beatdom Books	p3170	14445
10359811	AMAZON	am	2018	b	ag\	spa	\	Editorial Universitaria de Buenos Aires	2310	14378
10359195	AMAZON	am	2018	b	nyu	eng	\	Amistad, an imprint of HarperCollinsPublishers	2161	14336
10359297	AMAZON	am	2015	b	ck\	spa	f	Planeta :$bUniversidad Nacional de Colombia-Sede Bogotá, Instituto de Estudios Urbanos-IEU	2310	14342
10359323	AMAZON	am	2017	b	nyu	eng	\	Basic Books	p4350	14329
10358680	AMAZON	am	2017	b	fr\	fre	\	CNRS Éditions	p2662	14308
10359116	AMAZON	am	2017	b	si\	eng	\	National Gallery Singapore	8110	14318
10358682	AMAZON	am	2017	b	sp\	cat	\	Edicions Universitat de Barcelona	p4850	14310
10358692	AMAZON	am	2017	b	fr\	fre	\	L'Harmattan	p2662	14305
10358694	AMAZON	am	2018	b	vra	eng	\	Cambridge University Press	1341	14302
10358131	AMAZON	am	2017	b	gw\	eng	\	Frank & Timme	p3350	14275
10358069	AMAZON	am	2017	\	cau	eng	\	Heyday	p3160	14274
10356982	AMAZON	am	2017	b	ii\	eng	\	HarperCollins Publishers India	2010	14222
10356978	AMAZON	am	2018	b	is\	eng	\	Feldheim Publishers	p8154	14238
10356972	AMAZON	am	2016	\	ja\	eng	\	SUPER LABO	p8190	14208
10356967	AMAZON	am	2013	b	fr\	fre	\	Librairie J. Vrin	591	14231
10356968	AMAZON	am	2015	b	enk	eng	\	Cambridge University Press	p4350	14230
10355263	AMAZON	gm	2017	\	enk	nep	\	Matchbox Films	2010	14089
10355263	AMAZON	gm	2017	\	enk	nep	\	Matchbox Films	2010	14089
9924438	AMAZON	am	2016	\	nyu	eng	\	HarperOne	2810	6693
9924438	AMAZON	am	2016	\	nyu	eng	\	HarperOne	2810	6693
6059482	AMAZON	gm	2006	\	nyu	eng	\	Criterion Collection	1340	14199
6059482	AMAZON	gm	2006	\	nyu	eng	\	Criterion Collection	1340	14199
10356550	AMAZON	am	2016	b	enk	eng	\	Books of Africa Ltd.	6310	14193
6047914	AMAZON	gm	2003	\	cau	eng	\	Warner Home Video	1340	14198
6047914	AMAZON	gm	2003	\	cau	eng	\	Warner Home Video	1340	14198
